series,scope,scope_value,n,mean,std,skewness,kurtosis_excess,kurtosis_excess_trimmed,min,max,q0.001,q0.01,q0.05,q0.25,q0.5,q0.75,q0.95,q0.99,q0.999,hac_se,hac_l,hac_ci_lo,hac_ci_hi,boot_mean_ci_lo,boot_mean_ci_hi,threshold_v,diff_0_1pct,diff_0_1pct_ci_lo,diff_0_1pct_ci_hi,diff_1pct,diff_1pct_ci_lo,diff_1pct_ci_hi,freq_left,freq_right,freq_diff,freq_diff_ci_lo,freq_diff_ci_hi,mean_ticks,hac_ci_lo_ticks,hac_ci_hi_ticks
r_1m,SEGMENT,03:00-08:30,465442,-4.2549202742873886e-08,0.00032146075224202917,0.48287970453977336,55.8989921570477,8.16505272156687,-0.013380322043140812,0.01458500054486933,-0.002000126959815343,-0.0009015543629383204,-0.00044506239880011053,-0.0001286888901981141,0.0,0.0001305584230461991,0.00043694079218649026,0.0008792552421489808,0.0019576911977268806,4.6767349553120377e-07,26,-9.591892539840333e-07,8.740908484982854e-07,-1.0023642511365266e-06,7.638635255864853e-07,0.0011494731465048653,-4.2435762088462604e-05,-0.00012634162075186007,6.46911897818306e-05,-2.2299120789339615e-05,-3.575489238278002e-05,-6.294629263211443e-06,0.005184319421109397,0.0048169267062276285,-0.0003673927148817686,-0.0006198211421461704,-9.951562444751034e-05,-0.0024450686609648466,-0.05511933088437002,0.05022919356244032
r_1m,SEGMENT,08:30-09:30,84694,-5.904712762228268e-07,0.0005280385700248357,-5.2724446017524995,485.2135726366736,13.750921273214757,-0.030979850962524223,0.025631378887479704,-0.003127182378147179,-0.001251740942379652,-0.0005932740131803038,-0.00016657287341457952,0.0,0.00016651659838599526,0.0005845941032618109,0.001270810177903375,0.0034031211508836396,1.8047577094385478e-06,17,-4.12779638672238e-06,2.9468538342767267e-06,-4.154587598172977e-06,2.844926440689074e-06,0.0016713911085708354,0.00027593877273646063,-0.0002555698456247846,0.0005653135529209958,1.906923552372295e-05,-4.2374545178150906e-05,6.774620316065239e-05,0.0049472217630528725,0.005053486669657827,0.00010626490660495432,-0.000549116566606327,0.00068566173000095,-0.03395416503122639,-0.2373627395165297,0.16945440945407692
r_1m,SEGMENT,09:30-16:02,537786,1.3388776549675884e-06,0.000615046267827622,0.31893664734210747,31.887923731278796,6.2968352260426705,-0.017718340409624653,0.024732306971497725,-0.0034521351673439597,-0.0017418965777627393,-0.0009007395555514663,-0.00025190568397287006,0.0,0.0002604912880395,0.000867614872942093,0.0017279135475723882,0.003641078535812897,8.392245089551497e-07,26,-3.060023825845049e-07,2.983757692519682e-06,-1.697202351960787e-07,2.8788438902076853e-06,0.0021861735176759494,0.00018894336846893723,4.07026985462418e-05,0.0003186637763082845,-1.3983030190351051e-05,-3.966766711716679e-05,9.388117605028256e-06,0.00497037855206346,0.005029881774534852,5.9503222471391816e-05,-0.0001927962086803081,0.0002974752058987625,0.07682413040085945,-0.017558263710969753,0.17120652451268864
r_1m,SEGMENT,16:02-20:00,237735,6.739268868206503e-07,0.00031727906933014824,-1.4358231248628626,172.4157956938214,22.214766652499744,-0.016921093992375038,0.011771810440466483,-0.002437420300841031,-0.0008409292449456522,-0.0003497479287014617,-8.631678574002311e-05,0.0,9.005972252378697e-05,0.0003496650947048122,0.0008203074129937749,0.0023613999432520734,6.334338767917788e-07,22,-5.676035116912361e-07,1.9154572853325367e-06,-7.045866599459711e-07,1.9061315993711908e-06,0.0011581545034805654,-7.602035758895757e-05,-0.0002459694218826042,0.00012775271998829814,-2.0621831951877362e-05,-4.4093594881066505e-05,7.28412360718805e-06,0.005089700717185101,0.0049130334195638,-0.000176667297621301,-0.0006563776786888536,0.00023817689972012118,0.03912044488858434,-0.03294853244754612,0.1111894222247148
r_1m,SEGMENT,20:00-24:00,335288,8.993331989263231e-08,0.00025076071875594776,-0.4872969344483137,60.29638732653211,13.183920497164035,-0.011857251682944324,0.0066832361361912436,-0.0018205895660075,-0.0007191405303044743,-0.00031877422626531434,-8.342177039025007e-05,0.0,8.531519781177672e-05,0.0003195198498320987,0.0006944836951873706,0.0016780018583378152,4.3481888766412975e-07,24,-7.62311699929062e-07,9.421783397143265e-07,-8.847176169361304e-07,1.10061854715044e-06,0.0009475598429302423,-0.0001425877076696848,-0.0002319713807888371,-1.1875880982038787e-05,-2.4656835117103687e-05,-4.468664730119792e-05,-6.916324158099115e-06,0.005276061177256567,0.004724296724010403,-0.0005517644532461643,-0.0010215133603920011,-0.00021154686790201004,0.005157720862367547,-0.043718957145638525,0.05403439887037361
r_tilde,GLOBAL,GLOBAL,1914530,6.715755874546358e-07,0.000416620631432938,-0.19128116529472708,78.28834442661311,11.361376553701424,-0.019106646061257268,0.01860068705630909,-0.0027754145005208044,-0.0011346100450481537,-0.0005395488628740349,-0.00015343978397075258,0.0,0.00015744164534860683,0.0005331586155077179,0.001119092763537312,0.002761859200557354,2.9826203384738054e-07,35,8.698200111376998e-08,1.2561691737955018e-06,1.279600752002445e-07,1.2772794398511752e-06,0.0014957596339228267,-1.355529996345051e-05,-7.65914971333831e-05,4.7742349237838116e-05,-1.5517281510841596e-05,-2.5476704773240417e-05,-6.04393905718924e-06,0.0051281515567789485,0.004872214068204729,-0.00025593748857421963,-0.0004057211948846411,-0.00010507723411433261,,,
r_tilde,YEAR,2019,7406,1.0914313778378605e-06,0.00010760130774769568,0.006303973205565923,4.743278253507896,2.81303360681612,-0.000902271701379987,0.0008536136035791356,-0.0005248401083695081,-0.0002960613899419204,-0.00016703958884459408,-5.607941969192762e-05,0.0,5.821805408517904e-05,0.00016565823928583944,0.0002947655051791782,0.0005106148193773518,1.1666166698239426e-06,10,-1.195137295017067e-06,3.378000050692788e-06,-6.888625262430536e-07,2.814118278357199e-06,0.00035692446106428153,-1.4225288992156249e-05,-0.00014163933537845162,0.00013769072571832863,-1.29588476274219e-06,-1.6873153031403328e-05,2.687421216061394e-05,0.005130974885228194,0.004995949230353767,-0.0001350256548744268,-0.0018198362147406732,0.00146370949216901,,,
r_tilde,YEAR,2020,342648,2.0723369606959742e-06,0.0006306079718703558,-0.03309772789070518,50.914702940245604,14.849109298017279,-0.018350898907922374,0.01579614303645707,-0.0045015041936531846,-0.001810761864714201,-0.000782824106924446,-0.00019500161979969227,0.0,0.00020061740359051777,0.0007836892062120505,0.0017930563430840337,0.004549702637390778,1.06453448141968e-06,24,-1.415062288659874e-08,4.158824544278548e-06,7.344770984253295e-08,4.3465041265410446e-06,0.0024308304245900577,4.819844373759371e-05,-0.00017685570304564277,0.000357564257585861,-1.770552163016725e-05,-6.274412925283563e-05,3.251305208211713e-05,0.005016810254255095,0.0049847073381429335,-3.2102916112161824e-05,-0.0003552134333343233,0.00025038277365888343,,,
r_tilde,YEAR,2021,349039,5.025297073522099e-07,0.000290098058141725,-0.3352979965905625,13.82394129771906,5.896603184505439,-0.005883111736099857,0.006657549263945455,-0.0017609825521068523,-0.0008426536421419669,-0.000423321425957571,-0.0001254548739870862,0.0,0.00013015963401227332,0.00042178679830065405,0.000809631117424009,0.0015750459080374386,4.859308210872906e-07,24,-4.4989470197887973e-07,1.4549541166832994e-06,-5.112966673759559e-07,1.4205452875186133e-06,0.001046432054495847,-0.00018593664406941373,-0.0002539306660221218,-0.00010212950021136728,-3.302252471795795e-05,-4.92788900461707e-05,-1.2474096064772363e-05,0.0054463827824397845,0.004555364873266311,-0.0008910179091734735,-0.0012170600019464682,-0.0005222370307190033,,,
r_tilde,YEAR,2022,349996,-1.6066131410121936e-07,0.00047791044880465957,-0.08792314759248314,31.241867340249343,4.057234806026708,-0.016677475365059084,0.01379821647578412,-0.002489851184518354,-0.0012650038198232098,-0.0007045531634816154,-0.00023484026149876258,0.0,0.00023467582816085855,0.0007006659560053691,0.0012773169284935437,0.002517050683497147,8.022533092996306e-07,24,-1.7330778003284954e-06,1.4117551721260565e-06,-1.7017592908904388e-06,1.2844602926389757e-06,0.0015747055064568426,2.7199498978793066e-05,-0.00010144420916072861,0.00016111977638053727,1.2313108670333923e-05,-4.338746164101582e-06,3.2109650814281455e-05,0.005017200196573675,0.004982914090446748,-3.428610612692725e-05,-0.00039119501783412534,0.00027880580094776273,,,
