source_file,timestamp_utc,timestamp_ny,reason
02_mnq_09_20.Last.txt,2020-09-10 21:57:00+00:00,2020-09-10 17:57:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-09-10 21:58:00+00:00,2020-09-10 17:58:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-09-10 21:59:00+00:00,2020-09-10 17:59:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-09-10 22:00:00+00:00,2020-09-10 18:00:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-09-11 20:22:00+00:00,2020-09-11 16:22:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-11 20:23:00+00:00,2020-09-11 16:23:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-11 20:24:00+00:00,2020-09-11 16:24:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-11 20:25:00+00:00,2020-09-11 16:25:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-11 20:26:00+00:00,2020-09-11 16:26:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-11 20:27:00+00:00,2020-09-11 16:27:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-11 20:28:00+00:00,2020-09-11 16:28:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-11 20:29:00+00:00,2020-09-11 16:29:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-11 20:30:00+00:00,2020-09-11 16:30:00-04:00,SECONDARY_BREAK_WINDOW
02_mnq_09_20.Last.txt,2020-09-13 17:31:00+00:00,2020-09-13 13:31:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-09-13 21:25:00+00:00,2020-09-13 17:25:00-04:00,NO_SESSION
02_mnq_09_20.Last.txt,2020-09-13 21:27:00+00:00,2020-09-13 17:27:00-04:00,NO_SESSION
03_mnq_12_20.Last.txt,2020-10-11 13:39:00+00:00,2020-10-11 09:39:00-04:00,NO_SESSION
03_mnq_12_20.Last.txt,2020-10-11 15:44:00+00:00,2020-10-11 11:44:00-04:00,NO_SESSION
03_mnq_12_20.Last.txt,2020-10-11 21:25:00+00:00,2020-10-11 17:25:00-04:00,NO_SESSION
03_mnq_12_20.Last.txt,2020-10-17 18:02:00+00:00,2020-10-17 14:02:00-04:00,NO_SESSION
03_mnq_12_20.Last.txt,2020-10-17 18:08:00+00:00,2020-10-17 14:08:00-04:00,NO_SESSION
03_mnq_12_20.Last.txt,2020-10-17 20:49:00+00:00,2020-10-17 16:49:00-04:00,NO_SESSION
03_mnq_12_20.Last.txt,2020-10-17 20:52:00+00:00,2020-10-17 16:52:00-04:00,NO_SESSION
03_mnq_12_20.Last.txt,2020-10-17 23:24:00+00:00,2020-10-17 19:24:00-04:00,NO_SESSION
03_mnq_12_20.Last.txt,2020-10-18 09:02:00+00:00,2020-10-18 05:02:00-04:00,NO_SESSION
03_mnq_12_20.Last.txt,2020-10-18 10:49:00+00:00,2020-10-18 06:49:00-04:00,NO_SESSION
03_mnq_12_20.Last.txt,2020-10-18 10:50:00+00:00,2020-10-18 06:50:00-04:00,NO_SESSION
