variable,minute_of_day,n,point,ci_lo,ci_hi
r_1m_mean,118,1409,5.167171947894619e-06,-7.002174942623775e-06,1.7393498625071558e-05
r_1m_mean,119,1410,1.8066346941916463e-05,7.082614492792207e-06,2.8518146486538008e-05
r_1m_mean,120,1411,1.1290441295830878e-05,-6.532613163600632e-07,2.4812187013058145e-05
r_1m_mean,121,1412,-2.214884015072337e-05,-4.1114150355262345e-05,8.628792649086958e-07
r_1m_mean,122,1412,2.479477541642175e-06,-1.9799288432376725e-05,2.0485347457434208e-05
r_1m_mean,123,1413,6.698218854799918e-07,-1.6775879109584436e-05,1.6514023853201344e-05
r_1m_mean,124,1412,-1.1269543382291662e-05,-2.8896329379283345e-05,6.469860126141652e-06
r_1m_mean,125,1413,-5.528178450103777e-06,-2.2611606178511525e-05,9.186814572637027e-06
r_1m_mean,126,1411,-6.168673911581689e-06,-2.41156537587426e-05,9.769711221986445e-06
r_1m_mean,127,1411,1.2452980307583592e-05,-4.307444229621439e-06,2.7643177190601973e-05
r_1m_mean,128,1411,9.510436755952423e-06,-5.350347061600647e-06,2.6812334385210093e-05
r_1m_mean,129,1412,-1.0786137862915524e-05,-2.5480906747085714e-05,5.331742354173009e-06
r_1m_mean,130,1413,-8.899561475790856e-06,-2.2096548007519598e-05,5.438644228527125e-06
r_1m_mean,131,1413,1.3878901527052477e-05,-1.9363671364382582e-06,3.0103659368519193e-05
r_1m_mean,132,1413,1.6612608957386945e-06,-1.2361564335129111e-05,1.4692208103289476e-05
r_1m_mean,133,1409,-1.0262564429464168e-06,-1.4907995332190218e-05,1.4306508261933053e-05
r_1m_mean,134,1408,5.813764645063236e-07,-1.2819898711218785e-05,1.4371764136124414e-05
r_1m_mean,135,1411,-5.633231119010808e-06,-2.0102911376742207e-05,6.585865412969236e-06
r_1m_mean,136,1412,3.622783035259524e-06,-1.1976922386365154e-05,1.8997527901360962e-05
r_1m_mean,137,1413,8.475812698022725e-06,-8.776553652795033e-06,2.9953635962146663e-05
r_1m_mean,138,1409,-8.440812587397032e-06,-2.3872133541850722e-05,4.5545448390531605e-06
r_1m_mean,139,1409,6.84203050247854e-06,-8.613517532495961e-06,2.1101303903988848e-05
r_1m_mean,140,1412,1.956595122468145e-05,7.076728408198243e-06,3.466188014887451e-05
r_1m_mean,141,1412,1.4317691726681834e-05,-2.932452370809942e-06,3.112505319182975e-05
r_1m_mean,142,1412,-1.6050217690393232e-05,-2.958946170611714e-05,-1.9465301755338296e-06
r_1m_mean,143,1411,-6.190120438350623e-07,-1.484954107423351e-05,1.5186256026587365e-05
r_1m_mean,144,1411,-3.6353127088693193e-06,-1.6851479844275095e-05,1.1812177547855978e-05
r_1m_mean,145,1410,6.499500278214002e-06,-5.257204647388782e-06,1.7874835769697748e-05
r_1m_mean,146,1409,1.3355505546988966e-06,-1.3653838469823489e-05,1.5553770126732207e-05
r_1m_mean,147,1410,1.8936152070407863e-06,-1.1599685934165757e-05,1.3278834898720687e-05
r_1m_mean,148,1412,1.3359100755140746e-05,7.427345689875195e-07,2.7412945399123496e-05
r_1m_mean,149,1412,5.751268731938822e-06,-8.401118732261591e-06,1.9756314980644796e-05
r_1m_mean,150,1410,5.791320954693357e-06,-8.707094640469743e-06,1.9668567740899942e-05
r_1m_mean,151,1411,1.0376336778013783e-05,-4.044439210203269e-06,2.4665422599023336e-05
r_1m_mean,152,1411,-6.164774586456942e-06,-2.139947771240085e-05,9.289830456010185e-06
r_1m_mean,153,1411,5.723351051647081e-06,-6.25325477664704e-06,1.7967181816699157e-05
r_1m_mean,154,1411,-7.036402194988752e-06,-2.005517927853885e-05,7.0724877814341434e-06
r_1m_mean,155,1411,-7.066413814530025e-06,-2.08981728837264e-05,6.819464284489358e-06
r_1m_mean,156,1413,7.376880445285049e-06,-7.297511722985253e-06,1.882962102555931e-05
r_1m_mean,157,1413,7.221600287462282e-07,-1.1449485098088296e-05,1.450346117413369e-05
r_1m_mean,158,1413,6.066825083544185e-07,-1.256245507675539e-05,1.285495096552278e-05
r_1m_mean,159,1412,5.090820229811715e-06,-1.1831665911221538e-05,1.9293773742605844e-05
r_1m_mean,160,1412,9.82105594361259e-06,-3.5607600234685123e-06,2.2402821475337342e-05
r_1m_mean,161,1411,5.898642733224789e-06,-5.697708440391918e-06,2.113714419292658e-05
r_1m_mean,162,1411,-2.6783500751261307e-06,-1.8623105780148724e-05,1.1171523796350567e-05
r_1m_mean,163,1411,3.8535308818077824e-06,-7.948481795457169e-06,1.7896562583020587e-05
r_1m_mean,164,1411,5.568216646234793e-06,-7.376556079688172e-06,1.9551475769268183e-05
r_1m_mean,165,1407,9.203339375880127e-06,-4.912545159286667e-06,2.1353560621349518e-05
r_1m_mean,166,1409,4.540214085683638e-06,-1.0043823524129488e-05,2.0099809810166033e-05
r_1m_mean,167,1411,7.185651756405511e-06,-8.887137598683019e-06,2.3656935929875347e-05
r_1m_mean,168,1410,-2.659757196582052e-06,-1.5024808544363602e-05,1.1506957878866945e-05
r_1m_mean,169,1410,3.495937783301025e-06,-1.0634038160871409e-05,1.676764768024124e-05
r_1m_mean,170,1408,-5.285113411682306e-06,-1.8695302386420086e-05,7.246315233391872e-06
r_1m_mean,171,1408,-5.902019408605442e-07,-1.4531109930967871e-05,1.1439176029362697e-05
r_1m_mean,172,1409,-4.438923682128736e-07,-1.339873254917338e-05,1.1379514262235797e-05
r_1m_mean,173,1410,6.3949753496493965e-06,-6.563909617258468e-06,1.8816798023593642e-05
r_1m_mean,174,1409,-4.3430622593271415e-06,-1.580235829651219e-05,8.618192134219018e-06
r_1m_mean,175,1412,3.4576703936101488e-06,-1.0403727609227492e-05,1.7800983664474086e-05
r_1m_mean,176,1412,-1.7189612869132587e-05,-2.918882274076487e-05,-2.115338882983268e-06
r_1m_mean,177,1413,2.4244366773425698e-05,9.649453463868337e-06,3.692233974109087e-05
r_1m_mean,178,1412,-3.2757788920228027e-06,-1.412591127197107e-05,8.238997700492013e-06
r_1m_mean,179,1412,4.4324383712340104e-07,-1.3107694860842737e-05,1.334303020542629e-05
r_1m_mean,180,1413,4.530224017471982e-07,-1.5625254778516667e-05,1.7382247051914503e-05
r_1m_mean,181,1413,-3.7881510121982563e-06,-3.3971997477231845e-05,2.7253277981326395e-05
r_1m_mean,182,1412,-1.0028036980619851e-05,-3.056973942621157e-05,1.1542594548576294e-05
r_1m_mean,183,1411,2.4830967920207493e-05,-7.315142278375069e-06,5.7761183171652235e-05
r_1m_mean,184,1409,-9.84409091614757e-06,-2.9357322334352278e-05,8.826996899527409e-06
r_1m_mean,185,1408,1.2049914378144826e-05,-9.15517103107086e-06,2.8314380150462108e-05
r_1m_mean,186,1410,-1.8216034600358507e-05,-3.659174956102513e-05,7.281617772544423e-06
r_1m_mean,187,1412,-3.153535455142795e-07,-2.128668754185807e-05,2.0483603021542728e-05
r_1m_mean,188,1412,4.922948707040494e-06,-1.7814575653707742e-05,2.6324751214418796e-05
r_1m_mean,189,1410,-5.134875379832316e-07,-1.6715538165553294e-05,1.8657352378644623e-05
r_1m_mean,190,1411,4.642218609251256e-07,-1.6843739640902705e-05,1.76536284241589e-05
