variable,raw_adjusted,group,lag,n_pairs,rho,beta,insufficient_sample,n_boot_used,rho_ci_lo,rho_ci_hi
abs_r,adjusted,2021,1,348320,0.31200063088952784,0.3118049631299581,False,50.0,0.2907814998364303,0.32858770498674145
abs_r,adjusted,2022,1,349610,0.25533043924811116,0.25534917582157096,False,50.0,0.2379397810092148,0.27078427421344026
abs_r,adjusted,2023,1,349264,0.24962191828270736,0.2495538752827629,False,50.0,0.2199597486821967,0.28345214891206594
abs_r,adjusted,2024,1,351915,0.31916168760205815,0.31916302598308366,False,50.0,0.2582876480029833,0.3496839016826066
abs_r,adjusted,2025,1,163396,0.4126958567637835,0.41190561296052486,False,50.0,0.32775024313532,0.4689083211258176
abs_r,adjusted,2019,5,6807,0.1364131494056851,0.1368604647539959,False,,,
abs_r,adjusted,2020,5,338488,0.4107904596586923,0.4077511248332178,False,,,
abs_r,adjusted,2021,5,345906,0.2649587453589872,0.26462674470684494,False,,,
abs_r,adjusted,2022,5,348162,0.19055502835084318,0.19057036004161174,False,,,
abs_r,adjusted,2023,5,347844,0.2037299765612902,0.20342615623514376,False,,,
abs_r,adjusted,2024,5,350578,0.2723729899126702,0.27222321456827964,False,,,
abs_r,adjusted,2025,5,162816,0.33777381221679664,0.3395569110340742,False,,,
abs_r,adjusted,2019,20,5741,0.12383678624577137,0.12508784410705823,False,,,
abs_r,adjusted,2020,20,329033,0.38377388377775434,0.3780464129498761,False,,,
abs_r,adjusted,2021,20,338791,0.24440636329017348,0.24388861104417814,False,,,
abs_r,adjusted,2022,20,343288,0.16163047213623202,0.1617821674895037,False,,,
abs_r,adjusted,2023,20,343022,0.16748249394213166,0.16657132841943917,False,,,
abs_r,adjusted,2024,20,345910,0.22796925966158743,0.22785758240803736,False,,,
abs_r,adjusted,2025,20,160707,0.305881460695328,0.30587036640917414,False,,,
abs_r,adjusted,2019,60,4546,0.06520928531832933,0.06420462352724964,False,,,
abs_r,adjusted,2020,60,314305,0.3497361561389461,0.3399543850069776,False,,,
abs_r,adjusted,2021,60,325776,0.22100399898641207,0.21939787062903382,False,,,
abs_r,adjusted,2022,60,331808,0.12898025889166956,0.13067691233896636,False,,,
abs_r,adjusted,2023,60,331543,0.12789933375305537,0.12987908105312326,False,,,
abs_r,adjusted,2024,60,334497,0.20018708301154364,0.20975977106455887,False,,,
abs_r,adjusted,2025,60,155368,0.26872188612286046,0.27061885231400895,False,,,
log_hl,raw,2019,1,7406,0.7124011352241433,0.7095807545597618,False,50.0,0.6245542100221161,0.7451492836213861
log_hl,raw,2020,1,342648,0.7717123639318461,0.7623327839429109,False,50.0,0.7469669838868278,0.7814587384899692
log_hl,raw,2021,1,349039,0.7410992214477724,0.7394447570238434,False,50.0,0.7287031645943634,0.7498081180086728
log_hl,raw,2022,1,349996,0.6971211536750881,0.6934543899806445,False,50.0,0.6844759995933071,0.7128140024108875
log_hl,raw,2023,1,349636,0.7345745533162606,0.7329378635194606,False,50.0,0.718570873751063,0.7471523538611458
log_hl,raw,2024,1,352261,0.7308162333397172,0.7289490318538578,False,50.0,0.7094031364888512,0.744933087228227
log_hl,raw,2025,1,163544,0.765965264764335,0.7573761728162889,False,50.0,0.7237312034139798,0.7918740362113118
log_hl,raw,2019,5,6911,0.6207296847312097,0.6183086454730308,False,,,
log_hl,raw,2020,5,339217,0.7193620056045378,0.7050260997652796,False,,,
log_hl,raw,2021,5,346457,0.6827025897715212,0.6805927920795517,False,,,
log_hl,raw,2022,5,348515,0.62263005741174,0.6203046147496302,False,,,
log_hl,raw,2023,5,348188,0.6552057387038914,0.6533951259944731,False,,,
log_hl,raw,2024,5,350908,0.6628451583389282,0.6605418406250948,False,,,
log_hl,raw,2025,5,162961,0.6995202398670521,0.690206203941629,False,,,
log_hl,raw,2019,20,5798,0.47417532085716924,0.4846614288365866,False,,,
log_hl,raw,2020,20,329619,0.6679534786693614,0.6585087739855187,False,,,
log_hl,raw,2021,20,339229,0.6020156477335362,0.6046691092208207,False,,,
log_hl,raw,2022,20,343593,0.531797043981282,0.5298883082855825,False,,,
log_hl,raw,2023,20,343330,0.5720055315308645,0.5695417720576079,False,,,
log_hl,raw,2024,20,346206,0.5815554029594384,0.5798309073011986,False,,,
log_hl,raw,2025,20,160845,0.6252920209317866,0.6152694914371721,False,,,
log_hl,raw,2019,60,4566,0.30033314616403295,0.31265464079675676,False,,,
log_hl,raw,2020,60,314606,0.6216237885989669,0.62983780447601,False,,,
log_hl,raw,2021,60,326064,0.5224973334410247,0.5334110938983453,False,,,
log_hl,raw,2022,60,332084,0.43669042651249396,0.43941937390363983,False,,,
log_hl,raw,2023,60,331820,0.4926202542078364,0.49749685308370334,False,,,
