series,config,theoretical_q,empirical_q
r_1m_raw,NA,0.5043719862383814,0.2199819435268793
r_1m_raw,NA,0.5100734569685945,0.2230574332882238
r_1m_raw,NA,0.5157915570468273,0.22626917049096062
r_1m_raw,NA,0.521526571828932,0.22918672184394598
r_1m_raw,NA,0.5272787914395082,0.23190286676125782
r_1m_raw,NA,0.5330485109029087,0.23500393349752433
r_1m_raw,NA,0.5388360302784502,0.23768301148527396
r_1m_raw,NA,0.544641654799999,0.24111419965690215
r_1m_raw,NA,0.5504656950201124,0.24472774776536993
r_1m_raw,NA,0.5563084669589181,0.2478302672563944
r_1m_raw,NA,0.5621702922579263,0.25133082276892915
r_1m_raw,NA,0.5680514983389827,0.25474794527907274
r_1m_raw,NA,0.5739524185685733,0.25797653174739266
r_1m_raw,NA,0.5798733924277044,0.2605063470010076
r_1m_raw,NA,0.5858147656875988,0.26345418019360123
r_1m_raw,NA,0.5917768905914464,0.26661858684024137
r_1m_raw,NA,0.5977601260424784,0.26927162666423415
r_1m_raw,NA,0.6037648377986299,0.2718498344385059
r_1m_raw,NA,0.6097913986740797,0.27460341550403833
r_1m_raw,NA,0.6158401887479719,0.2778152228850083
r_1m_raw,NA,0.6219115955806241,0.28130485990942156
r_1m_raw,NA,0.6280060144375696,0.2862935597996389
r_1m_raw,NA,0.6341238485217698,0.29070181661124683
r_1m_raw,NA,0.6402655092143741,0.29525690245308045
r_1m_raw,NA,0.6464314163244075,0.2984025219105906
r_1m_raw,NA,0.652621998347801,0.30187633737703357
r_1m_raw,NA,0.6588376927361879,0.3051765270144686
r_1m_raw,NA,0.6650789461759234,0.3085704866980104
r_1m_raw,NA,0.6713462148778053,0.3122184707442071
r_1m_raw,NA,0.6776399648779956,0.3155905717708437
r_1m_raw,NA,0.6839606723506823,0.31897262617283706
r_1m_raw,NA,0.690308823933034,0.32240102622387473
r_1m_raw,NA,0.6966849170630507,0.3260258966214393
r_1m_raw,NA,0.7030894603309286,0.32947884737351285
r_1m_raw,NA,0.7095229738446082,0.3340268112877503
r_1m_raw,NA,0.7159859896102049,0.3382862430475153
r_1m_raw,NA,0.7224790519280627,0.3433822994365027
r_1m_raw,NA,0.7290027178052185,0.3477942235887276
r_1m_raw,NA,0.7355575573851106,0.3518751801630447
r_1m_raw,NA,0.7421441543954094,0.3559194456543002
r_1m_raw,NA,0.7487631066149087,0.35942433575796506
r_1m_raw,NA,0.7554150263604693,0.36291308909653075
r_1m_raw,NA,0.7621005409950667,0.36713742111567654
r_1m_raw,NA,0.7688202934580621,0.3721804922875053
r_1m_raw,NA,0.7755749428188843,0.37731973589931317
r_1m_raw,NA,0.7823651648553872,0.38230774678773477
r_1m_raw,NA,0.7891916526582223,0.3867337237955861
r_1m_raw,NA,0.7960551172626629,0.39114119168137923
r_1m_raw,NA,0.8029562883093937,0.3952418886270103
r_1m_raw,NA,0.809895914735898,0.3996527291552156
r_1m_raw,NA,0.8168747655001637,0.40445537556764144
r_1m_raw,NA,0.8238936303385576,0.4091262118115217
r_1m_raw,NA,0.830953320559838,0.41383640409507816
r_1m_raw,NA,0.8380546698774067,0.4189520252369648
r_1m_raw,NA,0.84519853528205,0.42502755786570545
r_1m_raw,NA,0.8523857979575752,0.43050165018633174
r_1m_raw,NA,0.8596173642419117,0.4354022300863348
r_1m_raw,NA,0.866894166636438,0.44033370273403993
r_1m_raw,NA,0.8742171648664836,0.44540966529131987
r_1m_raw,NA,0.8815873469961749,0.45047229776232744
r_1m_raw,NA,0.8890057306010245,0.4566909011633885
r_1m_raw,NA,0.8964733640019159,0.4624649383042214
r_1m_raw,NA,0.9039913275644013,0.46792525338370733
r_1m_raw,NA,0.9115607350675405,0.4729718661149782
r_1m_raw,NA,0.9191827351468197,0.47811014666404034
r_1m_raw,NA,0.9268585128160437,0.48411933226473697
r_1m_raw,NA,0.9345892910734798,0.4905648844790237
r_1m_raw,NA,0.9423763325979503,0.49656995537572723
r_1m_raw,NA,0.9502209415410151,0.5029627979765012
r_1m_raw,NA,0.9581244654219027,0.5093621929789767
r_1m_raw,NA,0.9660882971323729,0.5158278892921329
r_1m_raw,NA,0.974113877059309,0.5219916388779503
r_1m_raw,NA,0.9822026953334697,0.5286266259677115
r_1m_raw,NA,0.9903562942135747,0.5357691982949262
r_1m_raw,NA,0.9985762706156596,0.5422405780994252
r_1m_raw,NA,1.0068642787985222,0.5486346988658608
r_1m_raw,NA,1.015222033217028,0.5554185858323628
r_1m_raw,NA,1.0236513115560881,0.5624543826516504
r_1m_raw,NA,1.032153957959306,0.5697229639945887
r_1m_raw,NA,1.0407318864675446,0.5778953502502648
r_1m_raw,NA,1.0493870846841045,0.5859194725647525
r_1m_raw,NA,1.058121617684777,0.5932261159689323
r_1m_raw,NA,1.0669376321927655,0.6002522714545608
r_1m_raw,NA,1.0758373610404315,0.6086251987980471
r_1m_raw,NA,1.0848231279419567,0.6167356793748231
r_1m_raw,NA,1.0938973526034377,0.6251797293733815
r_1m_raw,NA,1.1030625561995975,0.6340757940186293
r_1m_raw,NA,1.1123213672493113,0.6421146727049882
r_1m_raw,NA,1.1216765279254888,0.650942383179592
r_1m_raw,NA,1.131130900838633,0.6595040137727515
r_1m_raw,NA,1.140687476337622,0.6691381133205948
r_1m_raw,NA,1.1503493803760079,0.6783583649985335
r_1m_raw,NA,1.1601198829975194,0.6876373090924159
r_1m_raw,NA,1.1700024075004787,0.6973147848627125
r_1m_raw,NA,1.180000540347729,0.7073874950394939
r_1m_raw,NA,1.1901180418964235,0.7176133427760308
r_1m_raw,NA,1.200358858030859,0.7278690236713868
r_1m_raw,NA,1.2107271327915974,0.7386697189778918
