variable,raw_adjusted,year_month,lag,n_pairs,rho,beta,insufficient_sample,n_boot_used,rho_ci_lo,rho_ci_hi
log_hl,raw,2021-08,20,29842,0.5864895692972723,0.585816477200854,False,,,
log_hl,raw,2021-09,20,27936,0.5684584971025998,0.5684862606098012,False,,,
log_hl,raw,2021-10,20,28449,0.49937415633753984,0.4987162048134257,False,,,
log_hl,raw,2021-11,20,29440,0.6088587432011165,0.6051757379381965,False,,,
log_hl,raw,2021-12,20,28662,0.5955667792059384,0.5959958973481176,False,,,
log_hl,raw,2022-01,20,28320,0.6423493313091573,0.641056996530544,False,,,
log_hl,raw,2022-02,20,26939,0.512368218373381,0.5007293150134418,False,,,
log_hl,raw,2022-03,20,30008,0.520216245795122,0.5181359490175652,False,,,
log_hl,raw,2022-04,20,27200,0.5537531600777637,0.548867753960907,False,,,
log_hl,raw,2022-05,20,29659,0.5865607232294725,0.5838702998645993,False,,,
log_hl,raw,2022-06,20,28751,0.5078402180380379,0.5055200811082453,False,,,
log_hl,raw,2022-07,20,28278,0.45690416139604345,0.45426646819160355,False,,,
log_hl,raw,2022-08,20,31238,0.5201118939478173,0.5164024655501394,False,,,
log_hl,raw,2022-09,20,28404,0.4810007890357352,0.4808953194623111,False,,,
log_hl,raw,2022-10,20,28560,0.40579473266564486,0.40422678415268964,False,,,
log_hl,raw,2022-11,20,28787,0.46090692027809305,0.4598873258612255,False,,,
log_hl,raw,2022-12,20,27449,0.4662599602191481,0.47939659189646106,False,,,
log_hl,raw,2023-01,20,28320,0.47392671093249117,0.47290773102574507,False,,,
log_hl,raw,2023-02,20,26960,0.5632155829280334,0.5635256987759754,False,,,
log_hl,raw,2023-03,20,29981,0.6016261924811959,0.5939552589412617,False,,,
log_hl,raw,2023-04,20,26438,0.4851156515437336,0.4825189996733507,False,,,
log_hl,raw,2023-05,20,31040,0.5566761591854575,0.554699619213509,False,,,
log_hl,raw,2023-06,20,28682,0.5807296329962138,0.5814021774110701,False,,,
log_hl,raw,2023-07,20,28059,0.5553861725801639,0.5537294606703869,False,,,
log_hl,raw,2023-08,20,31265,0.5417520624455494,0.5388116177242279,False,,,
log_hl,raw,2023-09,20,27248,0.5615974747726004,0.5619949537162813,False,,,
log_hl,raw,2023-10,20,29885,0.5491470859698339,0.5444896477294571,False,,,
log_hl,raw,2023-11,20,29440,0.5198601730548154,0.5191295507837415,False,,,
log_hl,raw,2023-12,20,26012,0.5404058542657583,0.5419827661592317,False,,,
log_hl,raw,2024-01,20,29680,0.5456503607195698,0.5442927387775678,False,,,
log_hl,raw,2024-02,20,28291,0.49671307146433125,0.49674358733879503,False,,,
log_hl,raw,2024-03,20,26327,0.5454882047877012,0.5473353098854493,False,,,
log_hl,raw,2024-04,20,29895,0.49161820221412383,0.48945797338278013,False,,,
log_hl,raw,2024-05,20,31040,0.5237494955598997,0.52152005465824,False,,,
log_hl,raw,2024-06,20,25509,0.5177073248357482,0.5175033818308339,False,,,
log_hl,raw,2024-07,20,30741,0.608644851079856,0.6075578293458967,False,,,
log_hl,raw,2024-08,20,29870,0.6175115784764151,0.6155974023878892,False,,,
log_hl,raw,2024-09,20,27216,0.5130074536698069,0.5118477478729754,False,,,
log_hl,raw,2024-10,20,31258,0.5059424059455192,0.5046637383123576,False,,,
