group_type,group,lag,n_pairs,rho,beta,insufficient_sample
segment,16:02-20:00,2,233793,-0.014579850998390959,-0.013504766612250866,False
segment,20:00-24:00,2,334546,-0.008872049676537621,-0.008844374840043032,False
segment,00:00-02:00,3,168246,-0.004635608252890468,-0.004667710151581415,False
segment,02:00-03:00,3,84498,0.017760884999152474,0.01780143934865941,False
segment,03:00-08:30,3,464635,0.002476207085965898,0.0024828341420584017,False
segment,08:30-09:30,3,84636,-0.007715861170741755,-0.00781075405033018,False
segment,09:30-16:02,3,537683,-0.004263241296643484,-0.004287339113884587,False
segment,16:02-20:00,3,231863,0.020703168906540705,0.018763905564349048,False
segment,20:00-24:00,3,334238,-0.00900785331451273,-0.008972587240196162,False
segment,00:00-02:00,4,168069,0.022886355307124004,0.023083938048169557,False
segment,02:00-03:00,4,84453,0.0059035189796878195,0.005920671197375332,False
segment,03:00-08:30,4,464426,0.000722142030942913,0.0007244065022482791,False
segment,08:30-09:30,4,84622,0.01323111609406364,0.013446477252556007,False
segment,09:30-16:02,4,537651,0.0026485830135604955,0.002664033500906882,False
segment,16:02-20:00,4,229964,0.01033784587784505,0.009245871784662896,False
segment,20:00-24:00,4,333972,-0.002616626662916427,-0.0026030653225144517,False
segment,00:00-02:00,5,167912,-0.01905901244501114,-0.019260412680606742,False
segment,02:00-03:00,5,84411,-0.007464787210726213,-0.00750531637873434,False
segment,03:00-08:30,5,464236,-0.008407478022028382,-0.008437922105416122,False
segment,08:30-09:30,5,84609,-0.006300186486437251,-0.006397166692151227,False
segment,09:30-16:02,5,537620,-0.002751353953518606,-0.0027690922764194224,False
segment,16:02-20:00,5,228082,-0.006042119852082291,-0.005330197161425014,False
segment,20:00-24:00,5,333731,-0.0011577447354898782,-0.001150822572729103,False
segment,00:00-02:00,6,167774,0.014446143744120345,0.014643604507842545,False
segment,02:00-03:00,6,84369,-0.01653902185165143,-0.016618346136714257,False
segment,03:00-08:30,6,464061,0.0060780260540756505,0.006107480362792019,False
segment,08:30-09:30,6,84598,-0.00039462818617595037,-0.0004010637302659576,False
segment,09:30-16:02,6,537590,-0.0015253432568134242,-0.0015381027079624055,False
segment,16:02-20:00,6,226206,0.009076512921828353,0.007846722627020214,False
segment,20:00-24:00,6,333511,0.008508974677218653,0.008450310479257388,False
segment,00:00-02:00,7,167651,-0.004196831283579718,-0.004275445103376979,False
segment,02:00-03:00,7,84330,0.003916454377018795,0.003923709647641119,False
segment,03:00-08:30,7,463893,-0.00285693152647488,-0.0028723560063183286,False
segment,08:30-09:30,7,84587,-0.0036373196760073803,-0.0036923873080451112,False
segment,09:30-16:02,7,537562,-0.0019221472753905289,-0.0019442213053794926,False
segment,16:02-20:00,7,224335,0.021919785400378308,0.01843380248437985,False
segment,20:00-24:00,7,333301,0.003517832904757932,0.0034879394445479863,False
segment,00:00-02:00,8,167534,0.012050774266293888,0.012321792923476871,False
segment,02:00-03:00,8,84297,-0.009963064410419385,-0.009963988544179202,False
segment,03:00-08:30,8,463730,0.00068432439718128,0.0006882955210931733,False
segment,08:30-09:30,8,84577,0.002794042143148007,0.002835104920032688,False
segment,09:30-16:02,8,537534,0.00101074782234934,0.0010230927509223833,False
segment,16:02-20:00,8,222473,-0.01164197565343382,-0.009688088296449446,False
segment,20:00-24:00,8,333108,-0.0009125558732352243,-0.0009046439610768344,False
segment,00:00-02:00,9,167424,-0.012402881549767252,-0.012705046787456419,False
segment,02:00-03:00,9,84265,0.007581461747661334,0.007588172683163891,False
segment,03:00-08:30,9,463574,-0.0027294290177486678,-0.0027514135338658876,False
segment,08:30-09:30,9,84567,-0.0071571812432496655,-0.007242872722566969,False
segment,09:30-16:02,9,537506,-0.008326135870950746,-0.008432609829067865,False
segment,16:02-20:00,9,220619,-0.006480077376830891,-0.005348884422594786,False
segment,20:00-24:00,9,332925,0.0007028375911027321,0.0006966489812035663,False
segment,00:00-02:00,10,167328,-0.024059842533078742,-0.024728170036413942,False
segment,02:00-03:00,10,84231,0.013446067224014068,0.013441675308621986,False
segment,03:00-08:30,10,463429,-0.0006816410021018977,-0.0006873642239182236,False
segment,08:30-09:30,10,84557,0.009271442564572558,0.009387190823592307,False
segment,09:30-16:02,10,537479,0.0024355493630252908,0.002469451017560535,False
segment,16:02-20:00,10,218767,0.010186659924688389,0.0083014989721354,False
segment,20:00-24:00,10,332757,0.013471813484691415,0.013333970304590546,False
segment,00:00-02:00,11,167236,0.006599141209091345,0.006787431516233313,False
segment,02:00-03:00,11,84197,1.6713015484717042e-05,1.6693532659822348e-05,False
segment,03:00-08:30,11,463289,0.009120843435710948,0.009199208467715611,False
segment,08:30-09:30,11,84547,-0.010545774779101085,-0.010674413571072317,False
segment,09:30-16:02,11,537452,0.0027960443451851263,0.00285145688771181,False
segment,16:02-20:00,11,216922,-0.002812200118551096,-0.002200417949251235,False
segment,20:00-24:00,11,332595,0.00656780193850231,0.00650478910571592,False
segment,00:00-02:00,12,167147,0.020603552246760012,0.02124755157178886,False
segment,02:00-03:00,12,84165,-0.012721497933773229,-0.01270726618718175,False
segment,03:00-08:30,12,463156,0.002684652920808036,0.002711056091733207,False
segment,08:30-09:30,12,84537,-0.0005283372126054588,-0.0005339489191036258,False
segment,09:30-16:02,12,537425,-0.0011893981303077066,-0.0012139287345751424,False
segment,16:02-20:00,12,215083,0.011676459989456553,0.009052844568299951,False
segment,20:00-24:00,12,332442,0.006316212828573733,0.006250083542018839,False
segment,00:00-02:00,13,167060,-0.011859206306648483,-0.012272913608487916,False
segment,02:00-03:00,13,84135,0.019933348158426123,0.0198910040087539,False
segment,03:00-08:30,13,463027,-0.002558436759683368,-0.0025853453039107977,False
segment,08:30-09:30,13,84529,0.005132040153482779,0.0051859981455495505,False
segment,09:30-16:02,13,537397,-0.0028695137460769573,-0.002930370999308516,False
segment,16:02-20:00,13,213252,-0.0005947195812097132,-0.00045880310880965424,False
segment,20:00-24:00,13,332300,-0.004128849126796575,-0.0040887682291861635,False
segment,00:00-02:00,14,166976,-0.01853741612199597,-0.019229428217769795,False
segment,02:00-03:00,14,84108,0.017311812779780403,0.017298231965312282,False
segment,03:00-08:30,14,462905,0.0005795280345508354,0.0005864052349721028,False
segment,08:30-09:30,14,84520,0.0016571087579589161,0.001674270399723028,False
segment,09:30-16:02,14,537371,-0.000788062172542112,-0.0008050328069651743,False
segment,16:02-20:00,14,211424,-0.00957704393520197,-0.007377926753853553,False
segment,20:00-24:00,14,332167,0.005516737294069475,0.005456481520071107,False
segment,00:00-02:00,15,166897,0.034688386248293006,0.0360160919617235,False
segment,02:00-03:00,15,84083,-0.0032542839896275433,-0.003258389760170709,False
segment,03:00-08:30,15,462786,0.004474012817020728,0.004528490171028275,False
segment,08:30-09:30,15,84511,0.0005403319905455601,0.0005464647167396106,False
segment,09:30-16:02,15,537345,1.1713671926754026e-06,1.1976580214896264e-06,False
segment,16:02-20:00,15,209601,0.0031271467049578798,0.0024096760961378983,False
segment,20:00-24:00,15,332040,-0.004606759103831941,-0.004553268709859955,False
segment,00:00-02:00,16,166821,0.012969722972017855,0.013470367254208158,False
