lag,rho,beta,n_pairs,estimable,series,bartlett_se
785,-0.0015973878068211214,-0.0034251739872354324,761273,True,r_1m,0.0007248791166414551
786,-0.00040092669099937807,-0.0008606875818501496,759902,True,r_1m,0.0007248809552632977
787,-0.00024701045152561115,-0.0005308653920497673,758531,True,r_1m,0.000724881071087959
788,0.00027227621511059026,0.0005859168990336986,757160,True,r_1m,0.0007248811150524158
789,0.002250101748991247,0.004847448094281756,755789,True,r_1m,0.0007248811684707611
790,-0.004370734204599062,-0.009432333191576218,754418,True,r_1m,0.0007248848166337091
791,0.0007496454233324889,0.0016195802685991703,753047,True,r_1m,0.0007248985815473472
792,-0.003861820081911449,-0.008354112713419584,751676,True,r_1m,0.000724898986470156
793,0.0030302349373090773,0.006565752935441152,750305,True,r_1m,0.0007249097323303429
794,-0.000469222907157473,-0.0010183583604968902,748934,True,r_1m,0.0007249163484677146
795,0.003844455088439944,0.008363154292482858,747564,True,r_1m,0.0007249165071061046
796,0.0010438599936693628,0.002274226753206693,746194,True,r_1m,0.0007249271562875902
797,-0.001558979905218884,-0.003399497141592594,744824,True,r_1m,0.0007249279413925603
798,0.003446020831016646,0.007521475421582363,743454,True,r_1m,0.0007249296925431498
799,0.0007281241237440936,0.0015911780082692958,742085,True,r_1m,0.0007249382486297075
800,0.0032390431952187184,0.007086132551629716,740716,True,r_1m,0.0007249386306157861
801,0.0010051462232070927,0.0022014026566316487,739347,True,r_1m,0.0007249461896758478
802,0.0031738128484529514,0.006958090477813972,737978,True,r_1m,0.0007249469176070321
803,0.00010254845199516292,0.00022504149528707257,736609,True,r_1m,0.0007249541751910203
804,-0.0008837137928451544,-0.0019415199528954666,735240,True,r_1m,0.0007249541827678144
805,-0.004465392445579043,-0.009821793681225809,733871,True,r_1m,0.000724954745433412
806,0.0005016674897541639,0.0011044558514108128,732502,True,r_1m,0.0007249691116328271
807,-0.0037834476605178922,-0.008341500335255707,731133,True,r_1m,0.000724969292954694
808,-0.0035773793283152815,-0.007897743062442751,729764,True,r_1m,0.0007249796060868729
809,0.002069582802238897,0.004577553180817434,728395,True,r_1m,0.0007249888262638818
810,0.0010516453409554654,0.002330121886618233,727026,True,r_1m,0.0007249919120882217
811,0.0012605242250768856,0.0027959996847186255,725657,True,r_1m,0.0007249927088766679
812,0.004579909674928531,0.010172007106312726,724288,True,r_1m,0.0007249938536150252
813,0.004262903516070143,0.009480177361007952,722919,True,r_1m,0.0007250089652967812
814,0.000575145006929365,0.0012809223379724828,721550,True,r_1m,0.000725022057162203
815,-0.0016275670487164405,-0.003630806685929725,720181,True,r_1m,0.0007250222954716403
816,0.0006757815654565188,0.0015094939202875517,718812,True,r_1m,0.0007250242038464172
817,-0.002334354235649552,-0.005223208477737164,717443,True,r_1m,0.000725024532847935
818,-0.000811663267634056,-0.0018184703579861654,716075,True,r_1m,0.0007250284585511797
819,0.0021219446802319035,0.004759750423934805,714707,True,r_1m,0.0007250289331584782
820,0.0024201614563495537,0.005438910250249957,713339,True,r_1m,0.0007250321769253163
821,-0.0020321996940747297,-0.004572701824280822,711971,True,r_1m,0.000725036396493018
822,-0.0006219926546703833,-0.0014014615587136423,710603,True,r_1m,0.0007250393716500128
823,0.0004099020088851368,0.0009247997117937669,709236,True,r_1m,0.0007250396503562332
824,-1.4392287201924263e-06,-3.252758607424354e-06,707869,True,r_1m,0.0007250397713982423
825,-0.0008680816548198873,-0.001965568827073067,706502,True,r_1m,0.0007250397713997346
826,-0.0006361102341572363,-0.0014425962569810298,705135,True,r_1m,0.0007250403142711667
827,0.0007790626152216604,0.0017694181949608311,703768,True,r_1m,0.0007250406057723669
828,0.0008900257460327686,0.0020243966311960385,702401,True,r_1m,0.0007250410430125747
829,-0.004256471503477476,-0.009698013389619047,701034,True,r_1m,0.000725041613676213
830,0.0019212160108283715,0.004384487702816111,699667,True,r_1m,0.0007250546654771647
831,0.002235242557389225,0.005108749282314258,698300,True,r_1m,0.0007250573244792062
832,-0.0025112691283003218,-0.0057484152115056366,696933,True,r_1m,0.0007250609237433252
833,0.0006075268037648333,0.0013933405992726552,695566,True,r_1m,0.0007250654668033927
834,0.0015425571136709196,0.003545248813166903,694199,True,r_1m,0.0007250657326869069
835,-0.00450344637027813,-0.01037340653842353,692832,True,r_1m,0.0007250674468116977
836,-0.0015809727639498096,-0.0036474600131979696,691465,True,r_1m,0.0007250820566373078
837,0.0024326114104704826,0.005620969106246458,690098,True,r_1m,0.0007250838571612609
838,0.0034146825921788524,0.007926873658888011,688731,True,r_1m,0.0007250881199498062
839,0.0014264112396347671,0.003320686377903818,687364,True,r_1m,0.0007250965192905522
840,-0.0005001223087719601,-0.0011689456711242636,685999,True,r_1m,0.0007250979849432417
841,0.0006219359820935087,0.0014545758301824341,684634,True,r_1m,0.0007250981651178252
842,-0.0007336360647048128,-0.0017170702691988238,683269,True,r_1m,0.0007250984437506652
843,-0.0025561606943608705,-0.005987537364158436,681904,True,r_1m,0.0007250988314562708
844,0.00523761838302367,0.012277101080017403,680539,True,r_1m,0.0007251035381453955
845,-0.00048600834587556074,-0.0011405940274516549,679174,True,r_1m,0.0007251232987207961
846,-0.0026306604935875406,-0.0061778661487277885,677809,True,r_1m,0.0007251234688635147
847,-0.002592635544116401,-0.006094407273472667,676444,True,r_1m,0.0007251284537351038
848,-0.0008906408925812552,-0.002095419470045929,675079,True,r_1m,0.0007251332955074834
849,-0.003030931155558492,-0.0071366312579493815,673714,True,r_1m,0.0007251338668875282
850,0.004554685883595247,0.010738548544479885,672349,True,r_1m,0.0007251404840195156
851,0.002889245336816137,0.006817899420975382,670985,True,r_1m,0.0007251554266844857
852,-0.0016276068473736341,-0.0038441417107295314,669621,True,r_1m,0.0007251614394430306
853,8.337006048792273e-05,0.00019715574611963978,668257,True,r_1m,0.000725163347544943
854,0.0014968552598529088,0.0035469845073044727,666893,True,r_1m,0.0007251633525513046
855,-0.0020461437862367114,-0.004856598965562009,665530,True,r_1m,0.0007251649663936556
856,-0.0006537969412812216,-0.0015531649217945507,664167,True,r_1m,0.0007251679819844203
857,-0.00010414436386351871,-0.0002475227858201928,662804,True,r_1m,0.0007251682898668322
