hour_ny,n,zero_fraction,sigma_delta_close_points,tick_to_sigma_points,sigma_r_1m,tick_return_representative,tick_to_sigma_return,close_representative,median_range_points,tick_to_median_range,median_abs_ticks,prop_0_ticks,prop_abs_1_tick,prop_abs_le_2_ticks,prop_abs_le_5_ticks,n_distinct_r1m_central,n_distinct_ticks_central
10,83611,0.015237229551135616,10.197309711215523,0.02451627018104954,0.0007245833182328904,1.7419933630507883e-05,0.024041312009489144,14351.25,12.0,0.020833333333333332,19.0,0.015237229551135616,0.03134754996352155,0.07699943787300714,0.16427264355168578,12157,11
11,83631,0.019813227152610875,7.791400006983976,0.03208665962162224,0.0005647787637760993,1.7385710684754705e-05,0.030783223095206695,14379.5,9.25,0.02702702702702703,15.0,0.019813227152610875,0.03859812748861068,0.098169339120661,0.2101254319570494,15382,11
12,83633,0.02325637009314505,6.686725237282152,0.0373875090015832,0.0004892925949074383,1.7402048221453046e-05,0.03556572979557369,14366.0,7.75,0.03225806451612903,13.0,0.02325637009314505,0.049143280762378484,0.11888847703657647,0.2482871593748879,18088,11
13,80847,0.023921728697416107,7.202907179592297,0.034708207917535684,0.0005132216963383614,1.7454900900244568e-05,0.03401045011303798,14322.5,7.5,0.03333333333333333,12.0,0.023921728697416107,0.04705183865820624,0.11832226304006332,0.251239996536668,17657,11
14,80793,0.023009419132845668,7.497387013403352,0.03334495065455016,0.0005557025013380705,1.7460996499544948e-05,0.031421482641342785,14317.5,7.75,0.03225806451612903,13.0,0.023009419132845668,0.04535046353025633,0.11420543858997685,0.24458802123946383,17197,11
15,80794,0.01990246800504988,7.92608864042133,0.03154140854860672,0.0006089790224918807,1.747823959213599e-05,0.028700889433952582,14303.375,8.75,0.02857142857142857,14.0,0.01990246800504988,0.039854444636977994,0.09952471718196895,0.21433522291259252,15256,11
16,74910,0.055600053397410226,5.536606707529785,0.04515401096848725,0.00040289082583549074,1.6949583464415176e-05,0.042069916656121795,14749.5,3.5,0.07142857142857142,6.0,0.055600053397410226,0.1065545321051929,0.2606060606060606,0.4935255640101455,30055,11
17,1343,0.045420699925539834,3.00684419013666,0.0831436496843016,0.0002222984787841526,1.7444243836013956e-05,0.07847216918183218,14331.25,3.75,0.06666666666666667,6.0,0.045420699925539834,0.09307520476545049,0.2509307520476545,0.49069247952345496,599,11
18,80700,0.057558859975216856,4.214015958792423,0.05932583133160239,0.0003388785639476828,1.741416991058584e-05,0.05138764077527872,14356.0,3.0,0.08333333333333333,5.0,0.057558859975216856,0.11309789343246593,0.2728252788104089,0.5138537794299876,33557,11
19,83476,0.06243710767166611,3.216242686680658,0.07773045269106044,0.00024716311738671196,1.741553465733759e-05,0.07046170497230461,14354.875,2.75,0.09090909090909091,5.0,0.06243710767166611,0.117650582203268,0.28855000239589823,0.5454501892759596,36593,11
20,83579,0.04977326840474282,3.7610638646439245,0.06647055434238645,0.0002815767551431926,1.7434207659288957e-05,0.06191635971663567,14339.5,3.5,0.07142857142857142,6.0,0.04977326840474282,0.09522727000801637,0.23665035475418467,0.46911305471470105,32456,11
21,83580,0.053170614979660205,3.3665311717606787,0.07426041442808066,0.00026555995431067644,1.7439376368328925e-05,0.06567020397934976,14335.25,3.25,0.07692307692307693,6.0,0.053170614979660205,0.1035175879396985,0.2543072505384063,0.4987676477626226,34075,11
22,83670,0.06555515716505318,2.993758879465512,0.08350705920733119,0.00024065464218526604,1.7439376368328925e-05,0.07246640334867657,14335.25,2.75,0.09090909090909091,5.0,0.06555515716505318,0.12444125732042548,0.30315525277877375,0.5686745547986136,37924,11
23,84459,0.07435560449448846,2.5951783842422222,0.09633249163833438,0.0002097782848701386,1.7432384140435358e-05,0.08309908793098733,14341.0,2.25,0.1111111111111111,4.0,0.07435560449448846,0.14135852899039772,0.343918350915829,0.6226926674481109,41034,11
